epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,4083.43,0.8892,1.20021,0.50539,0.00095,0.4461,0.88302,0.9075,0.94644,0.74999,0.88113,0.90242,0.93957,0.62152,0.77841,1.13476,0.44636,0.00097,0,0.0014654,0.0014654,0.0014654
29,4124.87,0.87838,1.16228,0.50194,0.00097,0.47139,0.87537,0.90743,0.93955,0.73771,0.88172,0.89422,0.93435,0.6214,0.80466,1.12923,0.45649,0.00101,0,0.0014456,0.0014456,0.0014456
30,4157.55,0.87861,1.17284,0.49419,0.00094,0.45705,0.8883,0.90947,0.9456,0.73513,0.89161,0.90008,0.93889,0.62074,0.82166,1.16426,0.46479,0.00104,0,0.0014258,0.0014258,0.0014258
31,4189.92,0.87079,1.15375,0.48929,0.00097,0.43914,0.89138,0.89696,0.94584,0.74221,0.89125,0.89244,0.93872,0.64107,0.79777,1.12578,0.44334,0.00103,0,0.001406,0.001406,0.001406
32,4222.39,0.86007,1.15835,0.49481,0.00095,0.44052,0.8874,0.8993,0.93963,0.74742,0.88382,0.88779,0.93313,0.64334,0.7785,1.10231,0.45052,0.00098,0,0.0013862,0.0013862,0.0013862
33,4271.01,0.86254,1.17021,0.47382,0.00095,0.42027,0.89111,0.89032,0.93599,0.7453,0.89198,0.89071,0.93403,0.60993,0.76677,1.13486,0.44206,0.00095,0,0.0013664,0.0013664,0.0013664
34,4303.32,0.89437,1.20372,0.49312,0.001,0.44395,0.896,0.89784,0.94082,0.73821,0.89183,0.895,0.93436,0.62114,0.80318,1.14128,0.45052,0.00101,0,0.0013466,0.0013466,0.0013466
35,4344.35,0.87864,1.15999,0.47803,0.00095,0.41473,0.89165,0.90164,0.94108,0.76066,0.89204,0.90203,0.93794,0.64438,0.74091,1.10065,0.42487,0.00093,0,0.0013268,0.0013268,0.0013268
36,4403.43,0.8629,1.13683,0.46585,0.00093,0.42748,0.90058,0.90865,0.94581,0.75802,0.89503,0.91101,0.94109,0.64289,0.76494,1.16781,0.42678,0.00096,0,0.001307,0.001307,0.001307
37,4435.74,0.85772,1.14341,0.47127,0.00094,0.44636,0.89122,0.91062,0.95026,0.74758,0.88209,0.90593,0.94206,0.63321,0.81728,1.14595,0.43246,0.00104,0,0.0012872,0.0012872,0.0012872
38,4484.64,0.86802,1.16983,0.48258,0.00095,0.43359,0.89481,0.90047,0.94992,0.75363,0.89129,0.88915,0.93811,0.63435,0.78292,1.11927,0.43282,0.00098,0,0.0012674,0.0012674,0.0012674
39,4517.39,0.85908,1.16541,0.47016,0.00095,0.38906,0.91172,0.89492,0.9467,0.75942,0.90933,0.89149,0.94121,0.64385,0.75476,1.13795,0.42512,0.00095,0,0.0012476,0.0012476,0.0012476
40,4550.03,0.84612,1.13489,0.46246,0.00096,0.39524,0.89141,0.90036,0.93991,0.74577,0.89218,0.90114,0.9386,0.61474,0.77638,1.08848,0.45177,0.00096,0,0.0012278,0.0012278,0.0012278
41,4595.24,0.85381,1.14756,0.4556,0.00094,0.38805,0.90009,0.91424,0.94464,0.75469,0.89466,0.90835,0.93808,0.63253,0.77253,1.16086,0.42705,0.00097,0,0.001208,0.001208,0.001208
42,4628.65,0.87056,1.15939,0.46676,0.00097,0.39948,0.90173,0.90611,0.94498,0.76174,0.89864,0.90319,0.94155,0.64908,0.74281,1.09183,0.41713,0.00093,0,0.0011882,0.0011882,0.0011882
43,4660.93,0.8614,1.15418,0.46263,0.00098,0.39535,0.89724,0.90008,0.9417,0.7463,0.89556,0.90036,0.93717,0.63328,0.79951,1.08786,0.43745,0.00101,0,0.0011684,0.0011684,0.0011684
