epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,33.1253,3.00178,5.10828,3.049,0.00589,5.59422,0.7915,0.52186,0.66953,0.25766,0.36981,0.2459,0.17672,0.03562,2.20465,4.28858,1.56716,0.00307,0,0.000661111,0.000661111,0.000661111
2,57.0316,2.48276,3.40189,1.34964,0.00355,4.76316,0.74781,0.78532,0.79436,0.33098,0.42713,0.49357,0.32172,0.07709,1.99558,2.88303,1.527,0.00278,0,0.00131463,0.00131463,0.00131463
3,79.7554,2.37593,2.836,1.11302,0.00333,4.32615,0.76282,0.77205,0.80292,0.34384,0.4072,0.48009,0.30706,0.06575,1.95599,2.29964,1.07535,0.00266,0,0.00195495,0.00195495,0.00195495
4,102.422,2.42623,2.68048,1.08014,0.00328,3.89692,0.79275,0.80679,0.83635,0.37958,0.43432,0.48728,0.31794,0.06922,1.84843,2.39113,0.97029,0.00249,0,0.0019406,0.0019406,0.0019406
5,125.097,2.2719,2.50549,1.01425,0.00307,3.48545,0.80803,0.79844,0.84152,0.38008,0.41761,0.44145,0.28358,0.06399,1.8428,2.11531,0.92537,0.00251,0,0.0019208,0.0019208,0.0019208
6,147.744,2.2954,2.34082,0.99118,0.003,3.12484,0.82772,0.80601,0.85302,0.37108,0.49985,0.53403,0.39387,0.09328,1.93679,2.1447,0.89076,0.00266,0,0.001901,0.001901,0.001901
7,170.504,2.19775,2.29203,0.98222,0.00292,2.71223,0.82436,0.83536,0.86612,0.41992,0.49804,0.50976,0.36497,0.08934,1.72902,1.90706,0.85198,0.00234,0,0.0018812,0.0018812,0.0018812
8,196.459,2.10123,2.17947,0.92001,0.00285,2.29222,0.83334,0.81889,0.85894,0.40382,0.45631,0.47229,0.30164,0.06768,1.80952,1.8953,0.83831,0.00242,0,0.0018614,0.0018614,0.0018614
9,219.223,2.14883,2.18528,0.90548,0.00282,1.92299,0.84538,0.84348,0.87647,0.41963,0.49252,0.49141,0.3374,0.07769,1.76626,2.00881,0.7906,0.00238,0,0.0018416,0.0018416,0.0018416
10,242.065,2.18566,2.16415,0.90104,0.00281,1.62221,0.83828,0.82751,0.86381,0.43106,0.48363,0.49352,0.36246,0.09098,1.74091,1.88627,0.763,0.00234,0,0.0018218,0.0018218,0.0018218
11,265.057,2.0543,2.06527,0.88456,0.00278,1.33572,0.82354,0.82279,0.84984,0.40793,0.43721,0.45121,0.29999,0.06668,1.76205,1.86122,0.83184,0.00231,0,0.001802,0.001802,0.001802
12,287.925,2.09822,2.06683,0.86669,0.00272,1.2035,0.86609,0.8356,0.87991,0.44049,0.47831,0.48244,0.34242,0.08097,1.70076,1.73515,0.7345,0.00226,0,0.0017822,0.0017822,0.0017822
13,310.632,2.0353,1.96465,0.83791,0.00269,1.05816,0.84866,0.84973,0.87896,0.41439,0.4471,0.43872,0.29334,0.06688,1.83514,1.74511,0.75946,0.00244,0,0.0017624,0.0017624,0.0017624
14,333.347,2.13075,2.06482,0.86254,0.00275,0.98116,0.85466,0.85157,0.88319,0.45947,0.51549,0.51483,0.3671,0.08873,1.65875,1.61678,0.71558,0.0022,0,0.0017426,0.0017426,0.0017426
15,356.017,2.03974,1.91299,0.83351,0.00265,0.91172,0.85657,0.85551,0.88389,0.433,0.46471,0.47307,0.32582,0.07825,1.76106,1.67199,0.75102,0.00235,0,0.0017228,0.0017228,0.0017228
16,378.615,2.05683,1.9262,0.8366,0.00269,0.90844,0.85967,0.87034,0.89128,0.44567,0.48837,0.50585,0.34982,0.08358,1.72537,1.62357,0.7304,0.0023,0,0.001703,0.001703,0.001703
17,401.396,2.07217,1.93859,0.82852,0.00269,0.85369,0.85757,0.85776,0.88755,0.45194,0.49416,0.48712,0.3522,0.08362,1.67902,1.74808,0.74794,0.00222,0,0.0016832,0.0016832,0.0016832
18,424.176,2.0309,1.87812,0.81973,0.00264,0.84493,0.86481,0.86612,0.89587,0.44832,0.49386,0.49297,0.3491,0.08659,1.72436,1.58391,0.70143,0.0023,0,0.0016634,0.0016634,0.0016634
19,446.995,2.01587,1.82715,0.79514,0.00265,0.82045,0.86144,0.84933,0.88493,0.47233,0.47532,0.47541,0.30653,0.07077,1.61699,1.67166,0.71248,0.00213,0,0.0016436,0.0016436,0.0016436
20,469.741,1.97466,1.86729,0.78229,0.00254,0.80768,0.86068,0.85831,0.88433,0.46189,0.49566,0.484,0.33373,0.07835,1.65988,1.51043,0.6837,0.00218,0,0.0016238,0.0016238,0.0016238
21,492.535,2.00346,1.8508,0.78056,0.00256,0.7826,0.86628,0.863,0.89397,0.48295,0.49846,0.48712,0.33095,0.0793,1.5995,1.54736,0.66504,0.00211,0,0.001604,0.001604,0.001604
22,515.535,1.9403,1.77541,0.77137,0.0025,0.77774,0.87663,0.8669,0.9076,0.4882,0.54672,0.54879,0.41603,0.11372,1.60863,1.5296,0.66061,0.00213,0,0.0015842,0.0015842,0.0015842
23,538.253,1.97752,1.82648,0.78231,0.00253,0.75774,0.86508,0.85519,0.89256,0.47092,0.45524,0.45004,0.28988,0.06667,1.63845,1.53268,0.70583,0.00213,0,0.0015644,0.0015644,0.0015644
24,560.892,1.98411,1.83754,0.77275,0.00258,0.74725,0.86223,0.86378,0.89718,0.43603,0.49139,0.50898,0.35318,0.09088,1.79562,1.60336,0.67563,0.00237,0,0.0015446,0.0015446,0.0015446
25,583.763,2.01267,1.8129,0.77102,0.00256,0.74379,0.86904,0.87627,0.91192,0.4945,0.51419,0.53318,0.38852,0.09975,1.60263,1.49423,0.63827,0.00212,0,0.0015248,0.0015248,0.0015248
26,606.461,1.89924,1.72153,0.73542,0.00248,0.72626,0.87283,0.87705,0.91339,0.48378,0.53837,0.54034,0.40145,0.10723,1.62489,1.47348,0.64925,0.00216,0,0.001505,0.001505,0.001505
27,629.361,1.94034,1.79546,0.74114,0.00245,0.7198,0.86441,0.86729,0.89524,0.4755,0.52596,0.53044,0.38697,0.09811,1.64806,1.55209,0.66724,0.00215,0,0.0014852,0.0014852,0.0014852
28,652.233,1.99477,1.79372,0.75284,0.00248,0.71679,0.86244,0.87744,0.90182,0.4948,0.49103,0.49649,0.34282,0.08415,1.59246,1.50149,0.65346,0.00209,0,0.0014654,0.0014654,0.0014654
29,675.021,1.99616,1.86385,0.75473,0.00256,0.71729,0.88496,0.87978,0.9122,0.48836,0.53045,0.5406,0.40403,0.10677,1.63771,1.57646,0.6369,0.00218,0,0.0014456,0.0014456,0.0014456
30,697.69,1.98941,1.77052,0.73882,0.00246,0.7035,0.8849,0.87315,0.91457,0.4891,0.53873,0.54879,0.40833,0.10927,1.62259,1.55391,0.63492,0.00215,0,0.0014258,0.0014258,0.0014258
31,720.512,1.91095,1.76671,0.71818,0.00246,0.68933,0.85905,0.86352,0.88839,0.46599,0.45738,0.4537,0.29687,0.07112,1.67614,1.50071,0.66182,0.00216,0,0.001406,0.001406,0.001406
32,743.488,1.88624,1.72965,0.7046,0.0024,0.70032,0.87565,0.88507,0.90884,0.49807,0.50125,0.49766,0.35483,0.09016,1.59078,1.4486,0.63726,0.00208,0,0.0013862,0.0013862,0.0013862
33,766.087,1.90486,1.68588,0.70662,0.00241,0.68063,0.87114,0.87342,0.90241,0.49892,0.48731,0.47346,0.33417,0.08154,1.56697,1.50636,0.6645,0.00203,0,0.0013664,0.0013664,0.0013664
