epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,31.3319,1.60713,4.13584,2.56986,0.00201,5.56005,0.75831,0.72287,0.80034,0.51901,0.70723,0.69165,0.71917,0.25779,1.18515,2.66126,1.22659,0.00157,0,0.000661111,0.000661111,0.000661111
2,53.3519,1.4585,2.36395,1.15786,0.00174,4.79116,0.77885,0.78064,0.82466,0.5458,0.73107,0.73419,0.73703,0.25249,1.14667,1.83524,0.96718,0.0015,0,0.00131463,0.00131463,0.00131463
3,74.8481,1.38882,1.99125,1.04513,0.00167,4.433,0.78544,0.8216,0.85771,0.57456,0.74995,0.77616,0.77531,0.27893,1.13851,1.63391,0.87632,0.00149,0,0.00195495,0.00195495,0.00195495
4,96.2125,1.40365,1.88774,0.9361,0.0016,4.0155,0.8252,0.82552,0.87457,0.60646,0.79106,0.78912,0.81159,0.31857,1.06415,1.51818,0.7255,0.00139,0,0.0019406,0.0019406,0.0019406
5,117.864,1.34694,1.7601,0.87542,0.00158,3.61032,0.83299,0.84883,0.89051,0.62414,0.81095,0.82201,0.84596,0.34053,1.03448,1.43525,0.68431,0.00135,0,0.0019208,0.0019208,0.0019208
6,139.37,1.36394,1.77243,0.81811,0.00154,3.23779,0.84628,0.87459,0.90587,0.61582,0.81554,0.83528,0.83734,0.32049,1.11371,1.45539,0.65534,0.00144,0,0.001901,0.001901,0.001901
7,160.856,1.36347,1.72727,0.83297,0.00159,2.89395,0.87105,0.87588,0.91201,0.60554,0.84573,0.84621,0.85527,0.34974,1.17086,1.56947,0.61258,0.00153,0,0.0018812,0.0018812,0.0018812
8,182.294,1.30085,1.63553,0.76746,0.00156,2.52679,0.87125,0.87432,0.91256,0.6194,0.83398,0.84075,0.85094,0.33388,1.13331,1.40187,0.59991,0.00146,0,0.0018614,0.0018614,0.0018614
9,204.31,1.30875,1.58866,0.74065,0.00152,2.15131,0.88266,0.87705,0.91931,0.64234,0.85117,0.84158,0.85891,0.3391,1.06611,1.37557,0.55481,0.00137,0,0.0018416,0.0018416,0.0018416
10,225.73,1.27784,1.55999,0.70268,0.00142,1.74873,0.87302,0.89227,0.92156,0.65182,0.85663,0.86924,0.88332,0.38969,1.02069,1.35878,0.54918,0.00132,0,0.0018218,0.0018218,0.0018218
11,247.635,1.25065,1.48143,0.69833,0.0015,1.35733,0.88732,0.88407,0.92992,0.65724,0.8634,0.86597,0.88714,0.386,1.03787,1.30325,0.5361,0.00135,0,0.001802,0.001802,0.001802
12,268.805,1.25622,1.53023,0.67089,0.00143,1.11929,0.89343,0.8829,0.92845,0.6528,0.87074,0.85978,0.88434,0.39929,1.04453,1.27243,0.52844,0.00136,0,0.0017822,0.0017822,0.0017822
13,290.175,1.21672,1.46093,0.63941,0.00143,0.90835,0.88626,0.8881,0.92299,0.65669,0.84379,0.84121,0.84588,0.31119,1.02624,1.27924,0.54361,0.00132,0,0.0017624,0.0017624,0.0017624
14,311.477,1.28469,1.4728,0.6446,0.00146,0.79115,0.88933,0.8993,0.93533,0.68286,0.86964,0.87939,0.8977,0.39588,0.97786,1.25573,0.49812,0.00127,0,0.0017426,0.0017426,0.0017426
15,333.12,1.22838,1.47026,0.61692,0.00141,0.71851,0.90043,0.8824,0.93619,0.68805,0.87517,0.85376,0.88722,0.3791,0.95886,1.24977,0.50217,0.00122,0,0.0017228,0.0017228,0.0017228
16,354.26,1.22488,1.45312,0.60867,0.00142,0.69319,0.8915,0.89478,0.93732,0.68101,0.85191,0.85753,0.87135,0.34176,0.99133,1.24826,0.4928,0.00127,0,0.001703,0.001703,0.001703
17,375.674,1.22556,1.45327,0.58993,0.0014,0.63458,0.89667,0.8908,0.93643,0.68094,0.86052,0.85489,0.87445,0.34493,0.97482,1.312,0.50323,0.00125,0,0.0016832,0.0016832,0.0016832
18,397.504,1.2115,1.4309,0.59045,0.0014,0.63169,0.87937,0.89852,0.93593,0.68432,0.85263,0.86534,0.88749,0.37829,0.97759,1.22273,0.49122,0.00126,0,0.0016634,0.0016634,0.0016634
19,419.171,1.18371,1.38142,0.57032,0.00137,0.60422,0.89669,0.90359,0.94323,0.68268,0.87577,0.88251,0.90611,0.3948,1.00696,1.38753,0.47001,0.00131,0,0.0016436,0.0016436,0.0016436
20,440.862,1.25463,1.54584,0.58393,0.00145,0.60478,0.89299,0.8993,0.93953,0.68242,0.86309,0.87107,0.89102,0.37211,0.9964,1.23617,0.48028,0.00127,0,0.0016238,0.0016238,0.0016238
21,462.377,1.2946,1.46284,0.59166,0.00147,0.58751,0.90057,0.89444,0.94312,0.6868,0.87665,0.87471,0.90298,0.39313,1,1.30932,0.47761,0.00129,0,0.001604,0.001604,0.001604
22,484.111,1.20619,1.33666,0.56615,0.00139,0.57257,0.89787,0.89891,0.94658,0.69869,0.87886,0.87354,0.90699,0.38795,0.9645,1.21244,0.46952,0.00124,0,0.0015842,0.0015842,0.0015842
23,505.708,1.2125,1.39922,0.56073,0.00139,0.57685,0.91003,0.88835,0.94094,0.69049,0.88144,0.86181,0.89132,0.36197,0.97254,1.19453,0.49,0.00125,0,0.0015644,0.0015644,0.0015644
24,527.027,1.20152,1.35273,0.55963,0.00139,0.57033,0.90124,0.90113,0.94338,0.69405,0.87467,0.87439,0.89954,0.40267,0.98279,1.23323,0.48115,0.00127,0,0.0015446,0.0015446,0.0015446
25,552.096,1.18669,1.34525,0.54993,0.00133,0.55205,0.90515,0.90138,0.94574,0.6816,0.89192,0.87609,0.90997,0.39705,1.03618,1.24763,0.46611,0.00136,0,0.0015248,0.0015248,0.0015248
26,578.198,1.18309,1.33619,0.54034,0.00138,0.53502,0.8973,0.91055,0.94471,0.70205,0.87041,0.87301,0.89096,0.36539,0.95246,1.21041,0.45122,0.00122,0,0.001505,0.001505,0.001505
27,600.67,1.18399,1.35744,0.53654,0.00132,0.51913,0.91525,0.90203,0.94819,0.7073,0.88913,0.87641,0.90561,0.39209,0.95289,1.19863,0.44689,0.00123,0,0.0014852,0.0014852,0.0014852
28,623.001,1.17411,1.32502,0.52362,0.00129,0.52308,0.90561,0.90997,0.95133,0.7128,0.87891,0.88108,0.90075,0.37335,0.93355,1.26914,0.44239,0.0012,0,0.0014654,0.0014654,0.0014654
29,644.449,1.16322,1.30189,0.52296,0.00132,0.52534,0.91195,0.90515,0.95119,0.70526,0.88606,0.87627,0.9006,0.36607,0.96503,1.22522,0.44366,0.00124,0,0.0014456,0.0014456,0.0014456
30,665.633,1.16338,1.33329,0.51494,0.00127,0.52353,0.9151,0.90035,0.94881,0.70315,0.88958,0.88049,0.90736,0.38312,0.96215,1.23702,0.43779,0.00124,0,0.0014258,0.0014258,0.0014258
31,687.085,1.15506,1.29864,0.51061,0.00133,0.52294,0.91262,0.90097,0.94913,0.70801,0.88537,0.87471,0.89919,0.38365,0.95958,1.19013,0.44225,0.00124,0,0.001406,0.001406,0.001406
32,708.642,1.15168,1.30406,0.52186,0.00131,0.5129,0.90636,0.90984,0.94707,0.70849,0.86592,0.86924,0.88313,0.3547,0.93892,1.1618,0.46006,0.00119,0,0.0013862,0.0013862,0.0013862
33,731.219,1.15941,1.31809,0.50854,0.00131,0.49011,0.90392,0.91072,0.95007,0.71107,0.88946,0.87978,0.90349,0.3764,0.93649,1.20313,0.42219,0.00121,0,0.0013664,0.0013664,0.0013664
34,752.909,1.1622,1.29907,0.50729,0.00133,0.50037,0.90322,0.90593,0.94602,0.71485,0.87649,0.87533,0.89719,0.36633,0.9302,1.16444,0.44485,0.00118,0,0.0013466,0.0013466,0.0013466
