epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,75.4837,5.09753,5.44665,3.7131,0.02632,5.77505,0.00562,0.03591,0.00133,0.00041,0.01081,0.06909,0.00092,0.00029,4.96491,4.80405,3.03068,0.01244,0,0.000661111,0.000661111,0.000661111
2,125.5,4.45933,4.59386,2.21147,0.01452,5.12343,0.08133,0.03981,0.00891,0.00177,0.08929,0.04645,0.01077,0.00471,4.79313,4.60291,1.84337,0.0106,0,0.00131463,0.00131463,0.00131463
3,150.344,4.17473,4.10239,1.53008,0.01121,4.52157,0.12783,0.10532,0.02274,0.00343,0.14604,0.14949,0.04124,0.02195,4.4208,4.65481,1.41973,0.00784,0,0.00195495,0.00195495,0.00195495
4,174.693,4.07004,3.81701,1.39612,0.01032,4.04867,0.09597,0.0726,0.01154,0.00196,0.27695,0.22756,0.1113,0.0578,4.73192,3.64744,1.34469,0.01013,0,0.0019406,0.0019406,0.0019406
5,199.301,3.87809,3.33843,1.27043,0.00936,3.56025,0.23314,0.15886,0.05561,0.01053,0.12203,0.09992,0.04023,0.01948,4.12495,3.39956,1.20525,0.00705,0,0.0019208,0.0019208,0.0019208
6,223.646,3.85879,3.14288,1.2881,0.00898,3.19975,0.14477,0.12881,0.02596,0.00406,0.32424,0.24239,0.14489,0.08542,4.44232,3.23488,1.24378,0.00854,0,0.001901,0.001901,0.001901
7,248.341,3.84878,2.96271,1.27266,0.0088,2.83875,0.26496,0.22287,0.08923,0.01466,0.2204,0.15496,0.07834,0.04841,4.00845,3.01088,1.1234,0.0069,0,0.0018812,0.0018812,0.0018812
8,272.74,3.68332,2.80724,1.18377,0.00819,2.44002,0.32502,0.25862,0.11911,0.02081,0.23812,0.13427,0.07372,0.04633,3.87081,2.70459,1.07764,0.00633,0,0.0018614,0.0018614,0.0018614
9,297.243,3.61476,2.67367,1.19549,0.00789,2.28241,0.32564,0.29781,0.13411,0.02327,0.19824,0.13232,0.06977,0.04386,3.8181,2.68355,1.07862,0.00623,0,0.0018416,0.0018416,0.0018416
10,321.73,3.61314,2.62042,1.20524,0.00769,2.24652,0.36542,0.31655,0.16972,0.0318,0.06981,0.18345,0.02696,0.01299,3.67346,2.40732,1.07796,0.00554,0,0.0018218,0.0018218,0.0018218
11,351.104,3.53499,2.61234,1.1343,0.00756,1.92548,0.36896,0.32319,0.15884,0.02841,0.09615,0.20492,0.03514,0.01866,3.67741,2.60913,1.03778,0.00562,0,0.001802,0.001802,0.001802
12,386.248,3.54021,2.62361,1.18011,0.00742,2.00237,0.3367,0.30094,0.1528,0.02856,0.10815,0.27752,0.06193,0.03423,3.76983,2.53634,1.11001,0.00591,0,0.0017822,0.0017822,0.0017822
13,417.079,3.51606,2.43416,1.15725,0.00726,1.87681,0.35305,0.34309,0.17035,0.03162,0.22587,0.12998,0.06098,0.03598,3.67073,2.49574,1.0759,0.00574,0,0.0017624,0.0017624,0.0017624
14,464.889,3.50271,2.45483,1.17063,0.00728,1.89746,0.41222,0.39422,0.22184,0.04176,0.16877,0.10617,0.04352,0.02433,3.54489,2.54647,1.06676,0.00533,0,0.0017426,0.0017426,0.0017426
15,497.142,3.46467,2.41713,1.16937,0.00716,1.89589,0.30022,0.31343,0.12426,0.02101,0.24001,0.16237,0.08261,0.04592,3.7987,2.3633,1.11159,0.00606,0,0.0017228,0.0017228,0.0017228
16,525.388,3.41753,2.31931,1.15384,0.00698,1.86055,0.47224,0.46253,0.29313,0.05976,0.17029,0.10148,0.0439,0.02417,3.36384,2.37922,1.03331,0.00493,0,0.001703,0.001703,0.001703
17,554.116,3.37388,2.38315,1.14566,0.00684,1.81319,0.42447,0.4177,0.25416,0.05042,0.19759,0.1128,0.05579,0.03443,3.46974,2.36852,1.07129,0.00522,0,0.0016832,0.0016832,0.0016832
18,583.223,3.35756,2.29855,1.14558,0.00666,1.88088,0.47469,0.46136,0.30766,0.06517,0.17965,0.11046,0.04738,0.02674,3.29569,2.45577,1.06045,0.00474,0,0.0016634,0.0016634,0.0016634
19,611.836,3.35211,2.28094,1.12901,0.00687,1.74234,0.37997,0.36729,0.20049,0.03792,0.26612,0.1897,0.10199,0.05803,3.61764,2.37537,1.04628,0.00571,0,0.0016436,0.0016436,0.0016436
20,644.767,3.392,2.36251,1.16781,0.00692,1.78169,0.44109,0.42818,0.26277,0.05101,0.2097,0.13622,0.07025,0.03863,3.4674,2.54641,1.03842,0.00519,0,0.0016238,0.0016238,0.0016238
21,703.432,3.43122,2.29374,1.19246,0.00695,1.83145,0.40861,0.40437,0.22784,0.04462,0.06788,0.15613,0.02088,0.00915,3.52513,2.28056,1.10996,0.00505,0,0.001604,0.001604,0.001604
22,761.263,3.32351,2.2485,1.16189,0.00664,1.75826,0.46022,0.48165,0.30479,0.06503,0.07921,0.18306,0.02691,0.01513,3.29542,2.17363,1.10258,0.00476,0,0.0015842,0.0015842,0.0015842
23,821.56,3.28548,2.25228,1.14554,0.00648,1.74613,0.51938,0.48048,0.34235,0.07537,0.10072,0.20765,0.03256,0.01696,3.2221,2.18204,1.03723,0.00457,0,0.0015644,0.0015644,0.0015644
24,880.599,3.25239,2.26741,1.11745,0.00645,1.73135,0.39808,0.38798,0.22891,0.0444,0.19685,0.12724,0.05326,0.02932,3.52158,2.39442,1.05828,0.00522,0,0.0015446,0.0015446,0.0015446
25,939.953,3.28174,2.25792,1.14741,0.00643,1.80274,0.51414,0.49493,0.34429,0.07586,0.13237,0.09368,0.03064,0.0165,3.23195,2.38319,1.02527,0.00462,0,0.0015248,0.0015248,0.0015248
26,963.922,3.24918,2.31126,1.1143,0.00637,1.68948,0.48139,0.46292,0.32202,0.06778,0.14728,0.11009,0.04106,0.02479,3.31168,2.3173,1.04122,0.00483,0,0.001505,0.001505,0.001505
27,988.197,3.27193,2.25558,1.14136,0.00647,1.74187,0.46205,0.47874,0.28764,0.05592,0.12727,0.09251,0.03169,0.01592,3.38185,2.24222,1.05694,0.00496,0,0.0014852,0.0014852,0.0014852
28,1012.1,3.21011,2.21538,1.15529,0.00621,1.75675,0.46221,0.48946,0.30438,0.06035,0.13186,0.09094,0.02823,0.01542,3.34312,2.25724,1.10798,0.00485,0,0.0014654,0.0014654,0.0014654
29,1036.25,3.24088,2.10939,1.12553,0.00638,1.75893,0.51532,0.50937,0.35741,0.0803,0.10633,0.08353,0.02416,0.01127,3.17955,2.19949,1.05923,0.00445,0,0.0014456,0.0014456,0.0014456
30,1060.3,3.21244,2.16529,1.14084,0.00623,1.72319,0.46989,0.46409,0.31291,0.06903,0.13911,0.08899,0.03023,0.01401,3.29065,2.41315,1.17257,0.00471,0,0.0014258,0.0014258,0.0014258
31,1084.38,3.16636,2.1917,1.12523,0.00618,1.72747,0.52796,0.52108,0.38504,0.08414,0.15294,0.11085,0.0411,0.02222,3.17187,2.19676,1.02961,0.00451,0,0.001406,0.001406,0.001406
32,1108.53,3.18552,2.23318,1.14381,0.00618,1.75569,0.49139,0.48673,0.32463,0.06527,0.12755,0.09055,0.03122,0.01474,3.3227,2.16438,1.05005,0.00478,0,0.0013862,0.0013862,0.0013862
33,1132.68,3.24636,2.1915,1.1465,0.00628,1.73254,0.49803,0.49727,0.34453,0.07244,0.13269,0.08704,0.02759,0.01521,3.25518,2.05558,1.07291,0.00466,0,0.0013664,0.0013664,0.0013664
34,1156.65,3.16256,2.17489,1.12749,0.00613,1.70203,0.5284,0.516,0.37699,0.07902,0.17218,0.11944,0.04589,0.02515,3.19532,2.20376,1.01296,0.00459,0,0.0013466,0.0013466,0.0013466
35,1187.33,3.138,2.18437,1.14843,0.00602,1.78114,0.50168,0.53084,0.37476,0.08049,0.12823,0.10812,0.03932,0.01905,3.15697,2.18147,1.11041,0.00445,0,0.0013268,0.0013268,0.0013268
36,1211.21,3.14909,2.06516,1.1736,0.0061,1.74512,0.49671,0.47931,0.3442,0.06997,0.18051,0.1249,0.05225,0.02834,3.33731,2.10668,1.03357,0.00482,0,0.001307,0.001307,0.001307
37,1249.09,3.14063,2.076,1.13415,0.00605,1.6698,0.48998,0.49123,0.33062,0.06847,0.23366,0.15105,0.0786,0.04306,3.2732,2.20421,1.09094,0.00477,0,0.0012872,0.0012872,0.0012872
38,1307.24,3.18129,2.20249,1.14755,0.00613,1.76908,0.51324,0.47822,0.36225,0.07818,0.06116,0.13544,0.01352,0.0081,3.24234,2.20497,1.04909,0.0045,0,0.0012674,0.0012674,0.0012674
39,1363.41,3.11011,2.03707,1.10556,0.00603,1.63321,0.49818,0.47229,0.3393,0.0715,0.17333,0.10573,0.04499,0.02583,3.30744,2.11333,1.11823,0.0046,0,0.0012476,0.0012476,0.0012476
40,1420.15,3.11276,2.06727,1.10865,0.00601,1.63629,0.54974,0.5121,0.39131,0.09009,0.14908,0.10343,0.03495,0.02212,3.14567,2.18336,1.04683,0.00433,0,0.0012278,0.0012278,0.0012278
41,1468.58,3.08782,2.03294,1.12803,0.00599,1.65615,0.51419,0.4961,0.36322,0.07996,0.17755,0.12334,0.04932,0.02574,3.23425,2.19121,1.06553,0.00467,0,0.001208,0.001208,0.001208
42,1493.22,3.0991,2.09447,1.1183,0.00593,1.64809,0.56229,0.52927,0.41577,0.09807,0.07286,0.15769,0.02061,0.01056,3.0992,2.09472,1.07025,0.00422,0,0.0011882,0.0011882,0.0011882
43,1517.43,3.06606,2.03856,1.09614,0.00592,1.58139,0.55743,0.54137,0.41717,0.09783,0.08581,0.1897,0.03016,0.01658,3.07211,2.07936,1.01443,0.0043,0,0.0011684,0.0011684,0.0011684
44,1541.46,3.10238,2.01912,1.13505,0.00588,1.69293,0.53449,0.5445,0.39367,0.08965,0.064,0.13739,0.01448,0.00764,3.11614,2.06435,1.08049,0.0043,0,0.0011486,0.0011486,0.0011486
45,1565.66,3.09161,2.14094,1.12024,0.00595,1.65385,0.50691,0.48322,0.35891,0.0778,0.17374,0.13037,0.04656,0.02449,3.22849,2.12592,1.04039,0.00448,0,0.0011288,0.0011288,0.0011288
46,1589.59,3.06543,2.04701,1.12114,0.00581,1.69074,0.56742,0.54254,0.41995,0.09767,0.16293,0.12217,0.04538,0.02309,3.0954,2.09735,1.0391,0.00434,0,0.001109,0.001109,0.001109
47,1613.6,3.04756,2.04826,1.09776,0.00583,1.64089,0.54823,0.52956,0.39993,0.0921,0.15155,0.09329,0.03821,0.02004,3.09369,2.18408,1.0968,0.00439,0,0.0010892,0.0010892,0.0010892
48,1637.74,3.05124,2.00835,1.10684,0.00583,1.60892,0.46183,0.44181,0.30304,0.06817,0.07866,0.15222,0.02148,0.01248,3.33779,2.26607,1.11657,0.00455,0,0.0010694,0.0010694,0.0010694
49,1661.87,3.06541,2.02334,1.10699,0.0059,1.60653,0.53067,0.51239,0.38991,0.08804,0.07568,0.14208,0.0195,0.0102,3.17035,2.44094,1.08706,0.00445,0,0.0010496,0.0010496,0.0010496
50,1686.01,3.04425,2.08764,1.11311,0.00576,1.64526,0.55787,0.55699,0.4226,0.09801,0.13974,0.11085,0.04149,0.01975,3.04366,2.45414,1.06503,0.00429,0,0.0010298,0.0010298,0.0010298
51,1710.39,3.06813,2.01215,1.13738,0.00584,1.64703,0.55479,0.56128,0.42939,0.10568,0.11169,0.08977,0.02536,0.01163,2.9921,2.17959,1.09461,0.0041,0,0.00101,0.00101,0.00101
